Organization Name,Organization Name URL,Headquarters Location,Industries,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Industry Groups,Stock Symbol,Stock Symbol URL,Stock Exchange,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Investor Type,Investment Stage
Iflytek,https://www.crunchbase.com/organization/anhui-ustc-iflytek-science-and-technology-co-ltd,"Hefei, Anhui, China","Artificial Intelligence (AI), Information Technology, Software, Speech Recognition",http://www.iflytek.com,3067960000,CNY,444658337,5,1999-12-30,day,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",002230,https://www.crunchbase.com/ipo/anhui-ustc-iflytek-science-and-technology-co-ltd-ipo--127342ca,SZSE - Shenzhen Stock Exchange,,,,,,,Micro VC,
TAL Education Group,https://www.crunchbase.com/organization/tal,"Haidian, Beijing, China","EdTech, Education, Knowledge Management, STEM Education, Tutoring",http://en.100tal.com/,3800000000,USD,3800000000,2,2003-08-01,day,"Administrative Services, Education, Other, Science and Engineering, Software",IZZ,https://www.crunchbase.com/ipo/tal-ipo--d5f76e7a,FRA - Frankfurt Stock Exchange,,,,,,,,
infobird,https://www.crunchbase.com/organization/infobird,"Beijing, Beijing, China","Call Center, Cloud Computing, Customer Service, Machine Learning, SaaS",http://www.infobird.com,30443812,USD,30443812,2,2001-10-26,day,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Internet Services, Other, Professional Services, Software",IFBD,https://www.crunchbase.com/ipo/infobird-ipo--19982623,NASDAQ,25000000,USD,25000000,101000000,USD,101000000,,
Shiji Group,https://www.crunchbase.com/organization/beijing-shiji-information-technology,"Beijing, Beijing, China","Hospitality, Point of Sale, Retail Technology, Security, Software",https://www.shijigroup.com/,942910718,USD,942910718,2,1998-02-06,day,"Commerce and Shopping, Hardware, Privacy and Security, Software, Travel and Tourism",002153,https://www.crunchbase.com/ipo/beijing-shiji-information-technology-ipo--07cae8c5,SZSE - Shenzhen Stock Exchange,,,,,,,,
UCloud Information Technology,https://www.crunchbase.com/organization/ucloud-information-technology,"Shanghai, Shanghai, China","Big Data, Cloud Computing, Cloud Data Services, E-Commerce, Enterprise Software, Information Technology",http://www.ucloud.cn,314429434,USD,314429434,6,2011-01-01,year,"Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Software",688158,https://www.crunchbase.com/ipo/ucloud-information-technology-ipo--f1aa4986,SSE - Shanghai Stock Exchange,1944000000,CNY,283097176,30400000000,CNY,4427034032,,
WiMi Hologram Cloud,https://www.crunchbase.com/organization/wimi-hologram-cloud,"Beijing, Beijing, China","Augmented Reality, Cloud Infrastructure, Computer Vision, Human Computer Interaction, Information Technology, Software",http://en.wimiar.com,83800000,USD,83800000,1,2015-01-01,year,"Design, Hardware, Information Technology, Internet Services, Science and Engineering, Software",WIMI,https://www.crunchbase.com/ipo/wimi-hologram-cloud-ipo--a7319519,NASDAQ,26000000,USD,26000000,,,,,
Kingsoft Cloud,https://www.crunchbase.com/organization/kingsoft-cloud,"Beijing, Beijing, China","Cloud Computing, Cloud Infrastructure, Internet, Web Hosting",http://en.ksyun.com/,968480000,USD,968480000,10,2012-01-01,year,"Hardware, Internet Services, Software",3896,https://www.crunchbase.com/ipo/kingsoft-cloud-ipo--a5b6068a,HKG - Hong Kong Stock Exchange,,,,,,,,
Zhangmen,https://www.crunchbase.com/organization/zhangmen,"Shanghai, Shanghai, China","EdTech, Education, Information Services",https://www.zhangmen.com,902277274,USD,902277274,8,2010-01-01,year,"Education, Information Technology, Software",ZME,https://www.crunchbase.com/ipo/zhangmen-ipo--65bd95dc,NYSE - New York Stock Exchange,41700000,USD,41700000,,,,,
CloudWalk Technology,https://www.crunchbase.com/organization/cloudwalk-technology,"Beijing, Beijing, China","Artificial Intelligence (AI), Facial Recognition, Information Technology, Machine Learning",https://www.cloudwalk.com/,5560000000,CNY,804747563,7,2015-01-01,year,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",688327,https://www.crunchbase.com/ipo/cloudwalk-technology-ipo--b26c5581,SSE - Shanghai Stock Exchange,,,,15850000000,CNY,2366166064,,
DHgames,https://www.crunchbase.com/organization/dhgames,"Chengdu, Sichuan, China","Gaming, Mobile Apps, Web Development",https://www.dhgames.cn/,16450000,CNY,2598473,3,2011-03-25,day,"Apps, Gaming, Mobile, Software",834113,https://www.crunchbase.com/ipo/dhgames-ipo--32b6682f,NEEQ - National Equities Exchange and Quotations,,,,,,,,
TCTM Kids IT Education,https://www.crunchbase.com/organization/tarena,"Beijing, Beijing, China","Consulting, EdTech, Education",https://ir.tctm.cn/,105050000,USD,105050000,5,2002-01-01,year,"Education, Professional Services, Software",TCTM,https://www.crunchbase.com/ipo/tarena-ipo--e8638d38,NASDAQ,,,,,,,,
17zuoye,https://www.crunchbase.com/organization/17zuoye,"Shanghai, Shanghai, China","E-Learning, EdTech, Education, Internet, Language Learning",http://ucenter.17zuoye.com,585000000,USD,585000000,7,2011-01-01,year,"Education, Internet Services, Software",YQ,https://www.crunchbase.com/ipo/17zuoye-ipo--740bd8a6,NASDAQ,287700000,USD,287700000,2250000000,USD,2250000000,,
Kingdee,https://www.crunchbase.com/organization/kingdee,"Shenzhen, Guangdong, China","E-Commerce, Enterprise Software, Government, Software",http://www.kingdee.com,384268380,USD,384268380,5,1993-08-08,day,"Commerce and Shopping, Government and Military, Software",0268,https://www.crunchbase.com/ipo/kingdee-ipo--a5183a0f,HKG - Hong Kong Stock Exchange,,,,,,,,
ZWSOFT,https://www.crunchbase.com/organization/zwsoft,"Guangzhou, Guangdong, China","CAD, Manufacturing, Software",https://www.zwsoft.com,220000000,CNY,31392609,2,1998-08-01,month,"Design, Manufacturing, Software",688083,https://www.crunchbase.com/ipo/zwsoft-ipo--fcf61e51,SSE - Shanghai Stock Exchange,,,,,,,,
CooTek,https://www.crunchbase.com/organization/cootek,"Shanghai, Shanghai, China","Android, Artificial Intelligence (AI), iOS, Machine Learning, Mobile Apps, Natural Language Processing, Software",https://www.cootek.com/,196171853,USD,196171853,7,2008-01-01,year,"Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Platforms, Science and Engineering, Software",CTK,https://www.crunchbase.com/ipo/cootek-ipo--9a04e07c,NYSE - New York Stock Exchange,52200000,USD,52200000,,,,,
Yeahka,https://www.crunchbase.com/organization/yeahka,"Shenzhen, Guangdong, China","Finance, FinTech, Mobile Payments",http://www.yeahka.com,112118723,USD,112118723,6,2011-01-01,year,"Financial Services, Mobile, Payments, Software",9923.HK,https://www.crunchbase.com/ipo/yeahka-ipo--951dd023,HKG - Hong Kong Stock Exchange,1530000000,HKD,197389046,,,,,
Ambow Education,https://www.crunchbase.com/organization/ambow-education,"Beijing, Beijing, China","Career Planning, Customer Service, EdTech, Education",http://www.ambow.com,169000000,USD,169000000,5,2000-01-01,year,"Education, Other, Professional Services, Software",AMBO,https://www.crunchbase.com/ipo/ambow-education-ipo--06de5dc9,NYSE - New York Stock Exchange,8000000,USD,8000000,,,,,
Datasea,https://www.crunchbase.com/organization/datasea,"Beijing, Beijing, China","Apps, Information Technology, Network Security",http://www.shuhaixinxi.com,8000000,USD,8000000,3,2014-01-01,year,"Apps, Information Technology, Privacy and Security, Software",DTSS,https://www.crunchbase.com/ipo/datasea-ipo--049409cf,NASDAQ,,,,,,,,
Fenbi,https://www.crunchbase.com/organization/fenbi-wang,"Beijing, Beijing, China","EdTech, Education, Vocational Education",https://www.fenbi.com/,396955881,USD,396955881,3,2012-01-01,year,"Education, Software",2469,https://www.crunchbase.com/ipo/fenbi-wang-ipo--f9f8daff,HKG - Hong Kong Stock Exchange,198000000,HKD,25360392,,,,,
Intellifusion,https://www.crunchbase.com/organization/intellifusion,"Shenzhen, Guangdong, China","Artificial Intelligence (AI), Computer Vision, Facial Recognition, Software",http://www.intellif.com,1208000000,CNY,173494166,5,2014-01-01,year,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",688343,https://www.crunchbase.com/ipo/intellifusion-ipo--ed546dfc,SSE - Shanghai Stock Exchange,3899000000,CNY,567697034,33074000000,CNY,4815596744,,
Global Data Solutions,https://www.crunchbase.com/organization/global-data-solutions,"Shanghai, Shanghai, China","Data Center, Information Technology, Private Social Networking, Software",http://www.gds-services.com/,730000000,USD,730000000,4,2000-01-01,year,"Community and Lifestyle, Hardware, Information Technology, Software",GDS,https://www.crunchbase.com/ipo/global-data-solutions-ipo--bd751c12,NASDAQ,192000000,USD,192000000,,,,,
Weimob,https://www.crunchbase.com/organization/weimob,"Shanghai, Shanghai, China","CRM, E-Commerce, Enterprise Software, Marketing, SaaS, Social Network, Software",http://weimob.com,589145072,USD,589145072,6,2013-04-01,month,"Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software",2013,https://www.crunchbase.com/ipo/weimob-ipo--3891390d,HKG - Hong Kong Stock Exchange,756000000,HKD,96386156,5632000000,HKD,718051367,,
The9,https://www.crunchbase.com/organization/the9,"Shanghai, Shanghai, China","Developer Platform, Gaming, Internet",http://www.the9.com,15103100,USD,15103100,2,1999-01-01,year,"Gaming, Internet Services, Software",NCTY,https://www.crunchbase.com/ipo/the9-ipo--2d0aedb1,NASDAQ,103000000,USD,103000000,,,,,
B-Soft,https://www.crunchbase.com/organization/b-soft,"Hangzhou, Zhejiang, China","Developer Platform, Enterprise Software, Health Care, Information Technology, Management Information Systems, Software",http://www.bsoft.com.cn,1238124387,CNY,182013387,6,1997-01-01,year,"Health Care, Information Technology, Software",300451,https://www.crunchbase.com/ipo/b-soft-ipo--f5d9b81a,SZSE - Shenzhen Stock Exchange,,,,,,,,
QingCloud,https://www.crunchbase.com/organization/qingcloud,"Beijing, Beijing, China","Cloud Computing, IaaS, SaaS, Software, Web Hosting",http://qingcloud.com,280832709,USD,280832709,4,2012-01-01,year,"Internet Services, Software",688316,https://www.crunchbase.com/ipo/qingcloud-ipo--9d4f3f09,SSE - Shanghai Stock Exchange,764400000,CNY,117496964,3020000000,CNY,464208309,,
21viaNet,https://www.crunchbase.com/organization/21vianet,"Beijing, Beijing, China","Cloud Data Services, Data Center, Enterprise Software, Information Technology, Internet, Web Hosting",https://www.21vianet.com,1355417400,USD,1355417400,12,1996-01-01,year,"Hardware, Information Technology, Internet Services, Software",VNET,https://www.crunchbase.com/ipo/21vianet-ipo--e8bd14ab,NASDAQ,195000000,USD,195000000,4837729950,USD,4837729950,,
Medbanks,https://www.crunchbase.com/organization/medbanks-network-technology,"Beijing, Beijing, China","Database, Health Care, Health Diagnostics, Medical, Oncology",https://medbanks.cn/,536000000,USD,536000000,6,2014-01-01,year,"Data and Analytics, Health Care, Software",0314,https://www.crunchbase.com/ipo/medbanks-network-technology-ipo--0d1f9b12,HKG - Hong Kong Stock Exchange,184500840,HKD,23635621,14071600000,HKD,1802653070,,
Wangsu Science & Technology,https://www.crunchbase.com/organization/wangsu-science-technology-co,"Beijing, Beijing, China","Cloud Computing, Cloud Data Services, Information Technology, Internet, Software",https://wangsu.com/,3500000000,CNY,506519631,1,2000-01-01,month,"Information Technology, Internet Services, Software",300017,https://www.crunchbase.com/ipo/wangsu-science-technology-co-ipo--517dce9d,SZSE - Shenzhen Stock Exchange,,,,,,,,
Transwarp,https://www.crunchbase.com/organization/transwarp,"Xuhui, Shanghai, China","Big Data, Data Center, Information Technology, Software",http://www.transwarp.io/,189181487,USD,189181487,7,2013-03-01,month,"Data and Analytics, Hardware, Information Technology, Software",688031,https://www.crunchbase.com/ipo/transwarp-ipo--0808e2ac,SSE - Shanghai Stock Exchange,1430000000,CNY,198707705,8701000000,CNY,1209059959,,
WeTrade Group,https://www.crunchbase.com/organization/wetrade-group,"Beijing, Beijing, China","Cloud Data Services, Cloud Management, Software",http://www.wetradegroup.net,40000000,USD,40000000,1,2019-01-01,year,"Information Technology, Internet Services, Software",WETG,https://www.crunchbase.com/ipo/wetrade-group-ipo--6de4f695,NASDAQ,,,,,,,,
Ourpalm,https://www.crunchbase.com/organization/ourpalm,"Beijing, Beijing, China","Developer Platform, Gaming, Mobile",http://ourpalm.com,518380000,CNY,75995963,4,1996-06-10,day,"Gaming, Mobile, Software",300315,https://www.crunchbase.com/ipo/ourpalm-ipo--4b8207a7,SZSE - Shenzhen Stock Exchange,,,,,,,,
Xunlei,https://www.crunchbase.com/organization/kankan,"Shenzhen, Guangdong, China","Blockchain, Cloud Computing, Information Technology, Software",http://www.xunlei.com/,420400000,USD,420400000,6,2003-01-01,year,"Blockchain and Cryptocurrency, Information Technology, Internet Services, Other, Software",XNET,https://www.crunchbase.com/ipo/kankan-ipo--77a6b651,NASDAQ,87700000,USD,87700000,,,,,
DHC Software,https://www.crunchbase.com/organization/dhc-software-co,"Beijing, Beijing, China","Computer, Computer Vision, Software",http://dhcc.com.cn,1270000000,CNY,198469007,1,2001-01-01,month,"Consumer Electronics, Hardware, Software",002065,https://www.crunchbase.com/ipo/dhc-software-co-ipo--e042f3c0,SZSE - Shenzhen Stock Exchange,,,,,,,,
VeriSilicon Holdings,https://www.crunchbase.com/organization/verisilicon-holdings,"Shanghai, Shanghai, China","Cloud Computing, DSP, Manufacturing, Semiconductor",http://www.verisilicon.com,96663991,USD,96663991,11,2001-01-01,year,"Hardware, Internet Services, Manufacturing, Science and Engineering, Software",688521,https://www.crunchbase.com/ipo/verisilicon-holdings-ipo--ea712ed9,SSE - Shanghai Stock Exchange,,,,,,,,
PARATERA,https://www.crunchbase.com/organization/paratera,"Haidian, Beijing, China","Artificial Intelligence (AI), Cloud Computing, Information Technology, Software",https://www.paratera.com/,157000000,CNY,24005563,6,2007-02-15,day,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",839493,https://www.crunchbase.com/ipo/paratera-ipo--8349873a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Youmi,https://www.crunchbase.com/organization/youmi-31e9,"Guangzhou, Guangdong, China","Ad Network, Advertising, Advertising Platforms, Android, App Marketing, Application Performance Management, Marketing, Mobile Advertising, Mobile Apps, Social Media Marketing",https://www.youmi.net/en/,430870000,CNY,67454706,7,2010-04-21,day,"Advertising, Apps, Data and Analytics, Mobile, Platforms, Sales and Marketing, Software",834156,https://www.crunchbase.com/ipo/youmi-31e9-ipo--b512e936,NEEQ - National Equities Exchange and Quotations,,,,,,,,
kaopuyun.com,https://www.crunchbase.com/organization/kaopuyun-com,"Xiamen, Fujian, China","Cloud Computing, Information Technology, Software",https://www.kaopuyun.com/,69500000,CNY,10542880,3,2002-05-01,day,"Information Technology, Internet Services, Software",871182,https://www.crunchbase.com/ipo/kaopuyun-com-ipo--d59d7d6b,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SooChow Securities,https://www.crunchbase.com/organization/soochow-securities,"Suzhou, Jiangsu, China","Cyber Security, Network Security, Security",http://www.dwzq.com.cn,2000000000,CNY,273983862,1,1993-04-10,day,"Information Technology, Privacy and Security",601555,https://www.crunchbase.com/ipo/soochow-securities-ipo--7138cb87,SSE - Shanghai Stock Exchange,,,,,,,Investment Bank,
Puxin Education Technology Group,https://www.crunchbase.com/organization/pu-xin-education,"Beijing, Beijing, China","EdTech, Education",http://pxjy.com,20000000,USD,20000000,1,2014-01-01,year,"Education, Software",NEW,https://www.crunchbase.com/ipo/pu-xin-education-ipo--8f8f0b21,NYSE - New York Stock Exchange,122400000,USD,122400000,1585000000,USD,1585000000,,
Raycloud,https://www.crunchbase.com/organization/raycloud,"Hangzhou, Zhejiang, China","E-Commerce, Enterprise, Information Technology, SaaS, Software",http://www.raycloud.com,298870000,CNY,43951404,3,2013-08-29,day,"Commerce and Shopping, Information Technology, Other, Software",688365,https://www.crunchbase.com/ipo/raycloud-ipo--5154f1a8,SSE - Shanghai Stock Exchange,,,,433000000,CNY,61184982,,
Beijing Highlander Digital Technology,https://www.crunchbase.com/organization/beijing-highlander-digital-technology,"Haidian, Beijing, China","Consumer Electronics, Electronics, IT Management",https://www.highlander.com.cn/,300000000,CNY,42995342,1,2001-02-14,day,"Consumer Electronics, Hardware, Information Technology",300065,https://www.crunchbase.com/ipo/beijing-highlander-digital-technology-ipo--92f5e56f,SZSE - Shenzhen Stock Exchange,,,,,,,,
Arcvideo Tech,https://www.crunchbase.com/organization/arcvideo-tech,"Hangzhou, Zhejiang, China","Cloud Computing, Professional Services, Video",http://www.arcvideo.cn/,484090000,CNY,71194555,6,2010-05-12,day,"Internet Services, Media and Entertainment, Other, Software, Video",688039,https://www.crunchbase.com/ipo/arcvideo-tech-ipo--4b96ef8e,SSE - Shanghai Stock Exchange,,,,,,,,
NetBank,https://www.crunchbase.com/organization/netbank-b457,"Hangzhou, Zhejiang, China","Commercial, Data Center, Telecommunications",http://www.netbank.cn/,131680000,CNY,19645112,5,2004-04-08,day,"Hardware, Information Technology, Other",835239,https://www.crunchbase.com/ipo/netbank-b457-ipo--6543cda7,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Sage Microelectronique,https://www.crunchbase.com/organization/sage-microelectronique,"Xiaoshan, Zhejiang, China","Electronics, Information Technology, Network Security",http://sage-micro.com.cn/,650700000,CNY,96819193,8,2011-07-15,day,"Consumer Electronics, Hardware, Information Technology, Privacy and Security",834203,https://www.crunchbase.com/ipo/sage-microelectronique-ipo--ee5b3243,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tellyes Scientific,https://www.crunchbase.com/organization/tellyes-scientific,"Nankai, Tianjin, China","Augmented Reality, Medical Device, Virtual Reality",http://www.tellyes.com/,357500000,CNY,53844617,5,2011-01-01,day,"Hardware, Health Care, Software",833047,https://www.crunchbase.com/ipo/tellyes-scientific-ipo--24837735,NEEQ - National Equities Exchange and Quotations,,,,,,,,
GBASE,https://www.crunchbase.com/organization/gbase,"Nankai, Tianjin, China","Database, Information Technology, Software",http://www.gbase.cn,193000000,CNY,30185835,6,2004-06-01,day,"Data and Analytics, Information Technology, Software",833056,https://www.crunchbase.com/ipo/gbase-ipo--9b9369bc,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Transinfo Group,https://www.crunchbase.com/organization/beijing-transinfo-technology-group-co-ltd,"Beijing, Beijing, China","Enterprise Software, Information Services, Public Transportation",http://www.ctfo.com,531151746,USD,531151746,3,2000-01-01,year,"Information Technology, Software, Transportation",002373,https://www.crunchbase.com/ipo/beijing-transinfo-technology-group-co-ltd-ipo--678a5c2d,SZSE - Shenzhen Stock Exchange,,,,,,,,
cData,https://www.crunchbase.com/organization/cdata,"Nanjing, Jiangsu, China","Artificial Intelligence (AI), Big Data, Cloud Computing, Software",http://www.cstor.cn/,99990000,CNY,15746226,3,2011-03-18,day,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",835305,https://www.crunchbase.com/ipo/cdata-ipo--80edfcc5,NEEQ - National Equities Exchange and Quotations,,,,,,,,
PIXEL SOLUTIONS,https://www.crunchbase.com/organization/pixel-solutions,"Guangzhou, Guangdong, China","Artificial Intelligence (AI), Education, Image Recognition, Machine Learning",http://www.pixelall.com/,35364700,CNY,5081323,4,1998-08-07,day,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",832682,https://www.crunchbase.com/ipo/pixel-solutions-ipo--f116e381,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Taoping,https://www.crunchbase.com/organization/china-information-technology,"Shenzhen, Guangdong, China","Cloud Data Services, Internet, Retail Technology",http://www.taop.com/,1500000,USD,1500000,1,1979-01-01,year,"Commerce and Shopping, Hardware, Information Technology, Internet Services, Software",TAOP,https://www.crunchbase.com/ipo/china-information-technology-ipo--7de472c3,NASDAQ,,,,,,,,
SYSTEC,https://www.crunchbase.com/organization/systec-14c3,"Guangzhou, Guangdong, China","Artificial Intelligence (AI), Cloud Computing, Information Services, Information Technology",http://www.systec.com.cn/,96000000,CNY,14503921,1,2003-08-26,day,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",835888,https://www.crunchbase.com/ipo/systec-14c3-ipo--b284fbf7,NEEQ - National Equities Exchange and Quotations,,,,,,,,
WINHONG,https://www.crunchbase.com/organization/winhong,"Guangzhou, Guangdong, China","Big Data, Cloud Computing, Information Technology",http://winhong.com,73360000,CNY,11799241,5,2010-04-15,day,"Data and Analytics, Information Technology, Internet Services, Software",82135,https://www.crunchbase.com/ipo/winhong-ipo--bf6d1b4f,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Huaru,https://www.crunchbase.com/organization/huaru,"Haidian, Beijing, China","Artificial Intelligence (AI), Information Technology, Software, Virtual Reality",http://www.huaru.com.cn/,135000000,CNY,19352896,1,2011-11-23,day,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",837069,https://www.crunchbase.com/ipo/huaru-ipo--64d927b9,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Egret Technology,https://www.crunchbase.com/organization/egret-technology,"Beijing, Beijing, China","Gaming, Mobile Apps, Web Apps",http://www.egret.com,68000000,CNY,9876400,1,2014-02-01,day,"Apps, Gaming, Mobile, Software",836615,https://www.crunchbase.com/ipo/egret-technology-ipo--4317bae5,OTCQB,,,,,,,,
wine-world.com,https://www.crunchbase.com/organization/wine-world-com,"Shenzhen, Guangdong, China","Database, Search Engine, Winery",https://www.wine-world.com/,90000000,CNY,12907112,1,2006-06-05,day,"Data and Analytics, Food and Beverage, Internet Services, Software",834528,https://www.crunchbase.com/ipo/wine-world-com-ipo--e22617c4,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Duiba,https://www.crunchbase.com/organization/duiba,"Hangzhou, Zhejiang, China","Developer APIs, Information Technology, Mobile",http://www.duiba.com.cn/,114700000,USD,114700000,4,2014-01-01,year,"Information Technology, Mobile, Software",1753,https://www.crunchbase.com/ipo/duiba-ipo--18431265,HKG - Hong Kong Stock Exchange,766200000,HKD,97626859,,,,,
